Company,Job Role,Stipend,Location
Advertising Saga,Graphic Design,"₹ 12,000-18,000 /month",Mumbai
"Ventuure (London, United Kingdom)",Sales Assistance,"₹ 10,000 /month",Work From Home
Mayra Enterprise (Your Silent Brand Ambassador),Graphic Design,"₹ 20,000 /month",Mira Bhayandar
Vivek Agarwal,Video Editing/Making,"₹ 1,000 /month",Work From Home
SuperNova,Graphic Design,"₹ 10,000-15,000 /month",Work From Home
Plan A Plant,Architecture,"₹ 15,000-20,000 /month",Hyderabad
Mindtunes,Operations,"₹ 10,000 /month",Work From Home
Qriocity Ventures Private Limited,AD Campaign,"₹ 10,000 /month",Work From Home
Stealmax Technologies Private Limited,Video Editing/Making,"₹ 5,000 /month",Work From Home
Get Out And Play India,Operations,"₹ 6,000 /month",Pune
The Drugstore Company,Social Media Marketing,"₹ 3,000 /month",Greater Noida
Kaivalya Digital,Video Editing/Making,"₹ 4,000-8,000 /month",Work From Home
Shrestha Sahni,Video Editing/Making,"₹ 5,000 /month",Work From Home
Decathlon,Business Development (Sales),"₹ 10,000 /month",Hyderabad
Chowgule & Company Private Limited,Law/Legal,"₹ 1,000-10,000 lump sum",Mumbai
Abhika Gems & Jewels,Social Media Marketing,"₹ 5,000-12,000 /month",Surat
HVRDC Electric Private Limited,Marketing,"₹ 5,000 /month +  Incentives",Jaipur
Curated Codes,Business Development (Sales),"₹ 5,000 /month +  Incentives",Indore
Kochiva,Social Media Marketing,"₹ 5,000 /month",Work From Home
Avaari,Product Management,"₹ 15,000 /month",Work From Home
Avaari,Blockchain Development,"₹ 18,000 /month",Work From Home
Avaari,Machine Learning,"₹ 15,000 /month",Work From Home
Avaari,Content Writing,"₹ 12,000 /month",Work From Home
Avaari,Human Resources (HR),"₹ 15,000 /month",Work From Home
Skill2 Source,Brand Management,"₹ 10,000 /month",Bangalore
Avaari,Interior Design,"₹ 15,000 /month",Work From Home
Avaari,Mechanical Engineering,"₹ 15,000 /month",Work From Home
Avaari,Photography,"₹ 10,000 /month",Work From Home
Avaari,Video Editing/Making,"₹ 10,000 /month",Ahmedabad
Avaari,Human Resources (HR),"₹ 7,000 /month",Work From Home
Shubh International,Social Media Marketing,"₹ 12,000 /month",Work From Home
Shubh International,Finance,"₹ 12,000 /month",Work From Home
Shubh International,Machine Learning,"₹ 14,000-16,000 /month",Work From Home
Shubh International,Human Resources (HR),"₹ 10,000 /month",Work From Home
Shubh International,Video Editing/Making,"₹ 12,000 /month",Work From Home
Brandboard Media,Social Media Marketing,"₹ 6,000 /month",Ahmedabad
Avaari,Mobile App Development,"₹ 15,000 /month",Work From Home
Avaari,Marketing,"₹ 18,000 /month",Work From Home
Avaari,Electrical Engineering,"₹ 12,000 /month",Work From Home
Avaari,Civil Engineering,"₹ 15,000 /month",Work From Home
Avaari,Artificial Intelligence (AI),"₹ 15,000 /month",Work From Home
Avaari,Business Development (Sales),"₹ 15,000 /month",Work From Home
Avaari,Social Media Marketing,"₹ 18,000 /month",Work From Home
Avaari,Web Development,"₹ 15,000 /month",Work From Home
Qriocity Ventures Private Limited,Social Media Marketing,"₹ 10,000 /month",Work From Home
Shubh International,Event Management,"₹ 9,000 /month",Chennai
Shubh International,Blockchain Development,"₹ 10,000-15,000 /month",Work From Home
Qriocity Ventures Private Limited,Digital Marketing,"₹ 10,000 /month",Work From Home
Qriocity Ventures Private Limited,Search Engine Optimization (SEO),"₹ 10,000 /month",Work From Home
Marpu Foundation,Content Creation,Unpaid,Work From Home
MarketInc,Social Media Marketing (Graphic Design),"₹ 10,000-30,000 /month",Work From Home
Web3 O' Clock,Social Media Manager,"₹ 5,000 /month",Work From Home
OyeLabs,PHP Development,"₹ 5,000-10,000 /month",Work From Home
Kareer Hub,Recruitment,"₹ 1,000 /month +  Incentives",Work From Home
MarketInc,Graphic Design (Branding Focused),"₹ 10,000-20,000 /month",Work From Home
Vikalp India Private Limited,Online Telugu Faculty,"₹ 5,000-8,000 /month",Work From Home
Vikalp India Private Limited,Online Faculty For Sketching/Painting,"₹ 5,000-8,000 /month",Work From Home
Shubh International,Graphic Design,"₹ 8,000 /month",Work From Home
Buddha Education Association Incorporation,Photography,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Blockchain Development,"₹ 18,000 /month",Work From Home
Shubh International,Data Entry,"₹ 8,000 /month",Work From Home
Qriocity Ventures Private Limited,Content Writing,"₹ 10,000 /month",Work From Home
Shubh International,Chartered Accountancy (CA),"₹ 12,000 /month",Work From Home
Shubh International,Electrical Engineering,"₹ 12,000 /month",Work From Home
Shubh International,Operations,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Electrical Engineering,"₹ 15,000 /month",Delhi
Shubh International,Content Writing,"₹ 12,000 /month",Work From Home
Shubh International,UI/UX Design,"₹ 15,000-20,000 /month",Work From Home
Shubh International,Web Development,"₹ 6,000 /month",Work From Home
Shubh International,Artificial Intelligence (AI),"₹ 8,000-10,000 /month",Work From Home
Shubh International,Digital Marketing,"₹ 10,000-15,000 /month",Gandhidham Sub-District
Buddha Education Association Incorporation,Artificial Intelligence (AI),"₹ 15,000 /month",Work From Home
Avaari,Operations,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Machine Learning,"₹ 18,000 /month",Work From Home
Buddha Education Association Incorporation,Videography,"₹ 12,000 /month",Work From Home
Buddha Education Association Incorporation,Product Management,"₹ 12,000 /month",Work From Home
Buddha Education Association Incorporation,Social Media Marketing,"₹ 10,000 /month",Work From Home
Qriocity Ventures Private Limited,Video Editing/Making,"₹ 10,000 /month",Work From Home
SuperNova,Human Resources (HR),"₹ 8,000-12,000 /month",Bangalore
Qriocity Ventures Private Limited,Graphic Design,"₹ 10,000 /month",Work From Home
Qriocity Ventures Private Limited,Cinematography,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Content Writing,"₹ 15,000 /month",Work From Home
Buddha Education Association Incorporation,Human Resources (HR),"₹ 16,000 /month",Work From Home
Buddha Education Association Incorporation,Mobile App Development,"₹ 15,000 /month",Work From Home
Buddha Education Association Incorporation,Marketing,"₹ 16,000 /month",Work From Home
Buddha Education Association Incorporation,Operations,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Web Development,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Interior Design,"₹ 12,000 /month",Pune
Buddha Education Association Incorporation,Mechanical Engineering,"₹ 8,000 /month",Work From Home
Buddha Education Association Incorporation,Business Development (Sales),"₹ 15,000 /month",Work From Home
Shivam Landscapers,Site Engineering (Civil),"₹ 6,000 /month",Mumbai
Kashida Couture,Social Media Marketing,"₹ 10,000-15,000 /month",Delhi
Hexagn,Web Development,"₹ 5,000-8,000 /month",Work From Home
Knitroot India Private Limited,Fashion Design,"₹ 7,000-10,000 /month",Mumbai
INDIA Redefined,Social Work,Unpaid,Work From Home
Bugs & Errors Studio,Business Development (Sales),"₹ 10,000 /month +  Incentives",Work From Home
REMBO EVENTS,Telecalling,"₹ 7,000 /month",Ahmedabad
Icareheal,Graphic Design,"₹ 2,000-3,000 /month",Work From Home
NEOMARCHE,Telecalling,"₹ 5,000 /month +  Incentives",Work From Home
SYNERGYY INTEX INDIA PRIVATE LIMITED,Telecalling,"₹ 5,000 /month +  Incentives",Bangalore
Helios Global,Content Writing,"₹ 10,000 /month",Gurgaon
OyeLabs,Business Development (Sales),"₹ 10,000-20,000 /month",Work From Home
Stashlers Private Limited,Social Media Marketing,"₹ 8,000-10,000 /month",Pune
CodeRift,Graphic Design,"₹ 3,000 /month",Work From Home
Graveiens Eduservices Private Limited,Freelance Workbook Writing,"₹ 1,000 /month +  Incentives",Work From Home
P2P MARKETING,Graphic Design,"₹ 4,000-8,000 /month",Delhi
Bake Buddy,Business Development (Sales)- Client Onboarding,"₹ 2,500-6,000 /month",Work From Home
Vezza Interiors & Space Saving Firm,Interior Design,"₹ 6,000 /month",Noida
GAMSYS Tech Private Limited,System & Network Administration,"₹ 5,000-10,000 /month",Thane
Nerdyinfo,Content Editing,"₹ 1,500 /month",Work From Home
Expertbells Consulting Private Limited,Business Development (Sales),"₹ 5,000-8,000 /month",Agra
Sdaemon Infotech Private Limited,HR Trainee,"₹ 5,000 /month",Pune
FACZO TECHNOLOGIES PRIVATE LIMITED,Graphic Design,"₹ 5,000 /month",Work From Home
Access Assist,Motion Graphics,"₹ 5,000 /month",Delhi
Mployd HR Services,Inside Sales,"₹ 5,000 /month",Bangalore
Cognochain Software Private Limited,Sales Consultant,"₹ 10,000-15,000 /month",Hyderabad
EDUHOLIC,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Expo Sales Agency,Accounting & Bookkeeping,"₹ 10,000-12,000 /month",Mumbai
ZakApps Software,Digital Marketing,"₹ 10,000 /month",Chennai
APPTech Mobile Solutions Private Limited,Lead Generation,"₹ 5,000 /month +  Incentives",Work From Home
Heterize Infotech Private Limited,Business Development (Sales),"₹ 2,000-5,000 /month",Indore
Heterize Infotech Private Limited,Business Development (Sales),"₹ 8,000-14,000 /month",Indore
NTech Solutions Private Limited,Sales,"₹ 5,000 /month +  Incentives",Jamshedpur
WNU Investment Services,Research & Analysis (Mutual Fund),"₹ 5,000 /month",Bangalore
Heterize Infotech Private Limited,E-commerce Operations,"₹ 2,000-5,000 /month",Indore
Heterize Infotech Private Limited,Data Entry,"₹ 2,000-4,000 /month",Indore
Heterize Infotech Private Limited,Social Media Marketing,"₹ 2,000 /month",Indore
Heterize Infotech Private Limited,Digital Marketing,"₹ 2,000-4,000 /month",Indore
Blackcoffer,Social Media Marketing,"₹ 5,000 /month",Work From Home
Blackcoffer,DevOps Engineering,"₹ 10,000 /month",Work From Home
SkillCircle,Information Technology,"₹ 8,000 /month",Delhi
Worxstax Solutions Private Limited,Graphic Design,"₹ 12,000 /month",Work From Home
Across The Globe (ATG),E-Commerce Listing,"₹ 2,000 /month",Work From Home
Vikalp India Private Limited,Online Carnatic Music Faculty,"₹ 7,000-9,000 /month",Work From Home
Vikalp India Private Limited,Online Guitar Faculty,"₹ 5,000-8,000 /month",Work From Home
Web3 O' Clock,Video Editing/Making,"₹ 5,000 /month",Work From Home
Vikalp India Private Limited,Online Science Faculty,"₹ 6,000-9,000 /month",Work From Home
Vikalp India Private Limited,Online Pre-school Teaching,"₹ 5,000-9,000 /month",Work From Home
Web3 O' Clock,Search Engine Optimization (SEO),"₹ 2,500 /month",Work From Home
Vikalp India Private Limited,Online Phonics Faculty,"₹ 5,000-9,000 /month",Work From Home
Web3 O' Clock,Anchoring,"₹ 5,000 /month",Work From Home
Hazyaz Technologies,Business Development (Sales),"₹ 2,000 /month +  Incentives",Work From Home
Amara Accessories India,Social Media Marketing,"₹ 10,000 /month",Noida
Inspire Infosol Private Limited,Sales Consultant,"₹ 10,000 /month",Hyderabad
Heterize Infotech Private Limited,E-Sports Casting And Production,"₹ 2,000-4,000 /month",Indore
WeeeBuild,Business Research,"₹ 10,000-15,000 /month",Bangalore
Fargo Handbags,Content Writing,"₹ 6,000 /month",Work From Home
Heterize Infotech Private Limited,Lead Generation,"₹ 7,000-12,000 /month",Indore
Thalappakatti Hotels Private Limited,Human Resources (HR),"₹ 5,000 /month",Coimbatore
Heterize Infotech Private Limited,E-Commerce Catalog Management,"₹ 7,000-10,000 /month",Indore
Heterize Infotech Private Limited,Field Sales,"₹ 8,000-14,000 /month",Indore
She Can Foundation,Crowdfunding,20% of Total Amount Raised,Work From Home
She Can Foundation,Social Entrepreneurship,Unpaid,Work From Home
Across The Globe (ATG),UI/UX Testing,"₹ 2,500 /month +  Incentives",Work From Home
Narigiri's Connect To Universe Private Limited,Online Law Admission Test Tutoring,"₹ 1,500-8,000 /month",Work From Home
MarketInc,Video Editing/Making,"₹ 10,000-40,000 /month",Work From Home
Navbharati Chemicals Private Limited,Digital Marketing,"₹ 10,000 /month",Pune
Polimeraas,Human Resources (HR),"₹ 20,000 /month",Hyderabad
Sakshar Media,Digital Marketing,"₹ 2,000 /month",Delhi
Xtracut,Social Media Marketing,"₹ 5,000-10,000 /month",Chennai
The Innovation Story,Robotics,"₹ 4,000 lump sum",Mumbai
Telstra Technologies India Private Limited,Graphic Design,"₹ 8,000 /month +  Incentives",Bangalore
Trimark Management Services,Lead Generation,"₹ 3,000 /month",Work From Home
WRMS Global,Graphic Design,"₹ 10,000-20,000 /month",Gurgaon
Maayavastra,Digital Marketing,"₹ 1,000 /month +  Incentives",Work From Home
Trulyhelp Trust,Fundraising,"₹ 1,000 /month +  Incentives",Work From Home
Peel-Works Private Limited,Inside Sales/Field Sales,"₹ 5,000 /month +  Incentives",Bangalore
MagicalXR Solutions Private Limited,Executive Assistant To The CEO,"₹ 5,000 /month +  Incentives",Work From Home
Blackcoffer,Marketing,"₹ 5,000 /month",Work From Home
Blackcoffer,UI/UX Design,"₹ 5,000 /month",Work From Home
GAMSYS Tech Private Limited,Android/Flutter Development,"₹ 5,000-10,000 /month",Thane
Talent Corner HR Services,Web Development,"₹ 15,000 lump sum",Mumbai
GAMSYS Tech Private Limited,Full Stack Development,"₹ 5,000-10,000 /month",Thane
Pawzz,Information Technology,"₹ 15,000-30,000 /month",Delhi
India Trotter,Travel,"₹ 12,000 /month",Work From Home
Narigiri's Connect To Universe Private Limited,Online Law National Admissions Test Tutoring,"₹ 1,500-8,000 /month",Work From Home
SkillStreet,UI/UX Design,"₹ 10,000-15,000 /month",Work From Home
SciAstra Education Private Limited,Video Editing/Making,"₹ 15,000-25,000 /month",Work From Home
"Sports Vision Inc (Minneapolis, United States)",React Native Mobile App Development,"₹ 20,000-30,000 /month",Work From Home
DevTown,Human Resources (HR),"₹ 5,000 /month",Work From Home
SkillStreet,"Memes, GIF & Video Content Creation","₹ 5,000 /month",Work From Home
SciAstra Education Private Limited,Youtube Video Script Writing (Hindi + English),"₹ 4,000-8,000 /month",Work From Home
Rani Sahiba,Human Resources (HR),"₹ 10,000 /month",Work From Home
MindMap IT Solutions,WordPress Development,"₹ 4,000 /month",Work From Home
Rank Revenue Digitech,Search Engine Optimization (SEO),"₹ 8,000-12,000 /month",Faridabad
WeGrow Consultancy And Solution,Social Media Marketing,"₹ 1,000 /month +  Incentives",Work From Home
Nitin Goyal,Law/Legal,"₹ 3,000-4,000 /month",Chandigarh
Wingless Dreamer Publisher,Digital Marketing,"₹ 3,000 /month +  Incentives",Work From Home
Futurama Education,Teaching,"₹ 5,000-10,000 /month",Noida
Ace Global,Content Writing,"₹ 5,000 /month",Work From Home
Gajjar Media,Digital Marketing,"₹ 2,000 /month",Work From Home
MANPREET  KAUR,Inside Sales,"₹ 5,000 /month",Work From Home
Sam Entertainment & Talent Management Company,Business Development (Sales),"₹ 2,000 /month +  Incentives",Mumbai
Chandra Times,Anchoring,"₹ 1,000 /month",Work From Home
Kaash,Digital Marketing,"₹ 3,500 /month",Work From Home
PlasticCity,Marketing,"₹ 10,000 /month",Bangalore
Cehpoint,Software Rebranding & Rebuilding,"₹ 2,000 /month",Work From Home
Silvergrey,Human Resources (HR),"₹ 5,000-8,000 /month",Indore
Renew U,Social Media Marketing,"₹ 5,000-10,000 /month",Noida
Certera Solutions LLP,Search Engine Optimization (SEO),"₹ 10,000 /month",Noida
McKinley & Rice Creativity Private Limited,Content Writing,"₹ 5,000-8,000 /month",Bangalore
Globefirm Exports,International Business Development,"₹ 5,000 /month",Pune
GEMA Education Technology Private Limited,Human Resources (HR),"₹ 1,000 /month",Work From Home
Spalba,Business Development (Sales),"₹ 6,000-10,000 /month",Gurgaon
Fingenics Technology Private Limited,Digital Marketing,"₹ 5,000 lump sum",Work From Home
Evolution Infosystem,Business Development (Sales),"₹ 10,000 /month",Rajkot
Monday Hotels,Hotel Management,"₹ 4,000-7,000 /month",Amalapuram
My Story,Marketing,"₹ 1,000-2,000 /month",Work From Home
Navigate2Educate,Telecalling,"₹ 8,000 /month",Work From Home
Clixar Studio,Social Media Marketing,"₹ 5,000 /month",Delhi
MiClient Private Limited,Telecalling,"₹ 5,000-10,000 /month",Gurgaon
Innefu,Human Resources (HR),"₹ 8,000 /month",Delhi
Proplegit.com,Client Servicing,"₹ 12,000-15,000 /month",Ahmedabad
Karv Forever By DP Brandmark House,Photography,"₹ 10,000 /month",Delhi
Tangerine Design Studio,Interior Design,"₹ 1,000 /month",Work From Home
Maate,Influencer Marketing,"₹ 15,000 /month",Gurgaon
Donivia Overseas Private Limited,HR Recruitment,"₹ 3,500 /month +  Incentives",Delhi
MIT World Peace School,HR Consultant,"₹ 10,000 /month",Alandi
Hued Life,Digital Marketing,"₹ 5,000 /month",Kochi
Ranjini Textiles,Content & E-Commerce Management,"₹ 12,000 /month",Kannur
Mithr Services,Human Resources (HR),"₹ 5,000 /month",Bangalore
Cyboard Edtech Private Limited,Content Writing,"₹ 15,000 /month",Gurgaon
Beyond Words,Search Engine Optimization (SEO),"₹ 10,000 /month",Gurgaon
V M Jewellery,Web Development,"₹ 7,000-10,000 /month",Mumbai
Counselling Wala,Business Development (Sales),"₹ 3,000 /month +  Incentives",Work From Home
Ace Prime Infra Private Limited,Sales,"₹ 5,000 /month",Aurangabad
Modarch India,Architecture,"₹ 8,000-10,000 /month",Noida
Futuristic Social,Sales,"₹ 3,000 /month",Work From Home
Digitalize You,Graphic Design,"₹ 5,000 /month",Mumbai
Pexelar,Search Engine Optimization (SEO),"₹ 1,000-1,500 /month",Work From Home
Pankaj Barla,Accounting & Taxation,"₹ 10,000 /month",Jaipur
PRIVAAKINDIA INNOVATON PRIVATE LIMITED,Business Development (Sales),"₹ 1,000 /month +  Incentives",Work From Home
Fusion Beauty,Human Resources (HR),"₹ 10,000-15,000 /month",Noida
QuoDeck Technologies Private Limited,Content Writing,"₹ 8,000 /month",Mumbai
Times Internet,Sales,"₹ 10,000 /month",Noida
Global Techvision,Business Development (Sales),"₹ 10,000 /month",Work From Home
Morbid Kuriosity,Content Writing,"₹ 12,000 /month",Work From Home
3 LEAF INDIA,E-Commerce Marketing,"₹ 5,000-30,000 /month",Gurgaon
INCRONIX TECHNOLOGY,Human Resources (HR),"₹ 10,000 lump sum",Pune
Impact Guru Technology Ventures Private Limited,Business Development (Sales),"₹ 5,000 /month",Mumbai
WeSolveForYou,Copywriting,"₹ 15,000 /month",Delhi
Kredily,Content Writing,"₹ 15,000 /month",Bangalore
Growbiznetwork,Content Writing,"₹ 7,000 /month",Delhi
Ezilone Marketing Solutions,Business Development (Sales),"₹ 6,000 /month",Work From Home
Alkraj Developers Private Limited,Content Development (English),"₹ 5,000 /month",Work From Home
Radiant Techlearning,Human Resources (HR),"₹ 5,000 /month",Noida
PyNet Labs Private Limited,Social Media Marketing,"₹ 10,000 /month",Gurgaon
Your Retail Coach (YRC),Business Consultant,"₹ 5,000 /month",Work From Home
Blackcoffer,Human Resources (HR),"₹ 5,000 /month",Work From Home
Just Shawarma,Human Resources (HR),"₹ 15,000 /month",Bangalore
Sree Saroj Mines And Minerals,E-Commerce Marketing,"₹ 10,000 /month",Hyderabad
Channel Technologies Private Limited,Content Writing,"₹ 12,000 /month",Delhi
Shasta Recruitment Technologies,Video Editing/Making,"₹ 3,000 /month",Chennai
Sanmol Software Solutions Private Limited,Marketing,"₹ 8,000-10,000 /month",Pune
CollMat,Content Writing & Research,"₹ 1,100 /month",Work From Home
Ishha Ajmera,Social Media Marketing,"₹ 3,000 /month +  Incentives",Work From Home
Synapse Valuetech Private Limited,UX/UI Design,"₹ 10,000 /month",Delhi
UnGap,Social Media Marketing,"₹ 6,000-10,000 /month",Mumbai
Parksons Packaging Limited,Recruitment,"₹ 12,000 /month",Mumbai
PROPZILLA INFRATECH PRIVATE LIMITED,Business Development (Sales),"₹ 10,000 /month",Gurgaon
Leufit Healthtech Solutions LLP,Video Editing/Making,"₹ 3,000 /month +  Incentives",Work From Home
Narigiri's Connect To Universe Private Limited,Online German Language Tutoring,"₹ 1,500-8,000 /month",Work From Home
Black Buck Design Studios,Client Service Management,"₹ 10,000 /month",Pune
Hungama Digital Media Entertainment Private Limited,Business Research,"₹ 5,000 /month",Mumbai
Realtzo,Social Media Marketing,"₹ 3,000 /month +  Incentives",Work From Home
Bangalore Real Estate,Content Writing,"₹ 12,000 /month",Bangalore
Ace Global,Content Writing,"₹ 5,000 /month",Work From Home
Ori,Content Writing,"₹ 15,000-20,000 /month",Noida
Sri Laxmi Kravia Techlabs Private Limited,Mechanical Engineering,"₹ 5,000 /month",Ahmedabad
Vansum Industries,Administration,"₹ 8,000 /month",Pune
Anoma DigiTech Private Limited,International Business Development,"₹ 5,000 /month",Work From Home
PEKO PAYMENTS PRIVATE LIMITED,Graphic Design,"₹ 8,000 /month",Work From Home
Bijon Trading Private Limited (Genotek),Future CMO (Preplacment),"₹ 15,000 /month +  Incentives",Work From Home
HealthFlex,Biomechanics & Anthropometry,"₹ 20,000 /month",Bangalore
MedFam,Finance & Founder's Office,"₹ 20,000 /month",Bangalore
Qvolv Technologies Private Limited,Sales Consultant - Lead Generation,"₹ 5,000-15,000 /month",Greater Noida
Saregama India Limited,Social Media Marketing,"₹ 5,000-10,000 /month",Mumbai
Harkoi,Community Management,"₹ 13,000 /month",Mumbai
Aditya Epc Infratech Private Limited,Marketing,"₹ 12,000 /month",Prayagraj
Ruchi Vashist,Social Media Marketing,"₹ 2,500 /month",Work From Home
Jaideep Sachdeva,Interior Design,"₹ 8,000-10,000 /month",Delhi
Leap Skills,Behavioral Therapy,"₹ 11,500 /month",Dombivli
Brand Fabricator,Graphic Design,"₹ 5,000 /month",Work From Home
Luxova,Digital Marketing,"₹ 8,000-20,000 /month",Delhi
Responsive Root Technologies,WordPress Development,"₹ 2,500-5,000 /month",Work From Home
Bhash Software Labs Private Limited,YouTube Content Creation,"₹ 15,000 /month",Bangalore
39 Solutions,Digital Marketing,"₹ 12,000 /month",Mumbai
Value Educator,Equity Analyst,"₹ 5,000 /month",Thane
Brihat Infotech Private Limited,Full Stack Development,"₹ 3,000 /month",Work From Home
Home Revise Education Private Limited,Animation,"₹ 14,000-20,000 /month",Navi Mumbai
Essentially AI Private Limited,Human Resources (HR),"₹ 10,000-25,000 /month",Mumbai
Referencified Tech Private Limited,Graphic Design,"₹ 3,000 /month",Work From Home
Horizon Industrial Parks Private Limited,Marketing,"₹ 15,000 /month",Mumbai
Invest4Edu Private Limited,Market Research,"₹ 5,000 /month",Work From Home
Shikkhoni,Video Editing/Making,"₹ 5,000 /month",Kolkata
Preeti Rawat,Videography,"₹ 10,000 /month",Noida
Unique Keemaya Infrahomes Private Limited,Human Resources (HR),"₹ 5,000-10,000 /month",Mumbai
Shri Sai Foil Printer & Packers,Digital Marketing,"₹ 2,000 /month",Work From Home
Brihat Infotech Private Limited,Flutter Development,"₹ 3,000 /month",Work From Home
Moram Napu,Digital Marketing,"₹ 1,000 /month",Work From Home
Catalyst,Human Resources (HR),"₹ 6,000 /month",Mohali
Digital Prospects Consulting,Outbound Telecalling,"₹ 10,000-25,000 /month",Work From Home
Thoughtle Technologies,Social Media Marketing,"₹ 6,000 /month",Work From Home
Patni And Patni Chartered Accountants,Accounting & Taxation,"₹ 4,000-12,000 /month",Aurangabad
RaiseAtab Private Limited,Artificial Intelligence (AI),"₹ 5,000-10,000 /month",Noida
Campinators,E-Commerce Sales,"₹ 4,000 /month +  Incentives",Work From Home
Eduminatti,Content Writing,"₹ 12,000 /month",Work From Home
Aid For Selfless Giving,Fundraising,"₹ 1,000-10,000 /month",Work From Home
Eduminatti,Digital Marketing,"₹ 8,000 /month",Work From Home
Eduminatti,Operations,"₹ 12,000 /month",Work From Home
MedFam,Human Resources (HR),"₹ 20,000 /month",Bangalore
Softy Incorporation,Telecalling,"₹ 3,000 /month +  Incentives",Pune
Maalexi Incorporation,Web Development,"₹ 10,000 /month",Work From Home
Breakout,Content Writing,"₹ 3,000-5,000 /month",Work From Home
Business Manpower Solutions,Human Resources (HR),"₹ 2,000 /month +  Incentives",Thane
ConsultAgora Private Limited,UX/UI Design,"₹ 10,000 /month",Work From Home
Internshala Trainings,Android Teaching Assistance,"₹ 5,000 /month +  Incentives",Work From Home
Lilac Mosaic,Corporate Sales,"₹ 14,000-20,000 /month",Work From Home
Worldwide Media (Times Group),Editorial,"₹ 5,000 /month",Mumbai
CFOLogic Private Limited,Business Development (Sales),"₹ 10,000-15,000 /month",Pune
EduFund,UI/UX Design,"₹ 10,000 /month",Pune
Goseen Solutions Private Limited,Business Development (Sales),"₹ 6,000-15,000 /month",Work From Home
Pentagon Space,Business Development (Sales),"₹ 8,000-10,000 /month",Bangalore
Artiset,Operations,"₹ 10,000 /month +  Incentives",Pune
North Strom Academy,Videography,"₹ 10,000 /month",Mumbai
Acufore India Private Limited,Inside Sales,"₹ 10,000 /month",Bangalore
Bezt Labs,Human Resources (HR),"₹ 3,000-12,000 /month",Work From Home
CaratLane Trading Private Limited,Content & E-Commerce Management,"₹ 15,000 /month",Mumbai
FIKAA,Python Development,"₹ 12,000-15,000 /month",Mumbai
SVF Entertainment Private Limited,Digital Marketing,"₹ 8,000-10,000 /month",Kolkata
BookSpot Technologies,Digital Marketing,"₹ 5,000 /month",Work From Home
IHW Council,Copywriting,Unpaid,Faridabad
Newzertainment,Search Engine Optimization (SEO),"₹ 1,000 /month",Work From Home
Visioapps Technology Private Limited,Market Research,"₹ 5,000-7,000 /month",Gurgaon
ALLEN Career Institute Private Limited,Product Operations,"₹ 40,000 /month",Bangalore
BanBanjara Travels LLP,Content Writing,"₹ 3,000 lump sum",Work From Home
Shri Siddhivinayak Provital LLP,Digital Marketing,"₹ 10,000 /month",Faridabad
Prime Mark General Trading LLC,Export Merchandising,"₹ 9,000 /month",Work From Home
WebMantra Technologies,Telecalling,"₹ 10,000 /month",Kolkata
GoDropdown,Angular.js Development,"₹ 21,000 /month",Work From Home
GoDropdown,Graphic Design,"₹ 20,000 /month",Work From Home
"Hub Of Technology (Dubai, United Arab Emirates)",Content Development (Logical Reasoning),"₹ 12,000 /month",Work From Home
Eduminatti,Video Editing/Making,"₹ 12,000 /month",Work From Home
Eduminatti,Human Resources (HR),"₹ 12,000 /month",Work From Home
Clearly Blue Digital Private Limited,Marketing,"₹ 8,000 /month",Bangalore
Lilac Mosaic,Product Marketing,"₹ 11,500-33,000 /month",Work From Home
Eduminatti,Social Media Marketing,"₹ 10,000 /month",Work From Home
SGF (SPICE GRILL FLAME),Marketing,"₹ 8,000 /month",Delhi
Eduminatti,UI/UX Design,"₹ 10,000 /month",Work From Home
Ostello India Private Limited,User Experience Design,"₹ 8,000-10,000 /month",Work From Home
Hindi Top,Content Writing,"₹ 1,000 /month",Work From Home
Eduminatti,Graphic Design,"₹ 8,000 /month",Work From Home
New Spice Solutions Private Limited (Smart Dukaan),Graphic Design,"₹ 10,000 /month",Noida
ZIBAA,Operations,"₹ 6,000 /month",Kolkata
Narigiri's Connect To Universe Private Limited,Online BASS Guitar Tutoring,"₹ 1,500-8,000 /month",Work From Home
Beyul Private Limited,Customer Service/Customer Support,"₹ 8,000 /month",Work From Home
Axe Consultancy And Security Services LLC,Product Design,"₹ 7,000 /month",Work From Home
Thinking Tree Learnings Private Limited,Content Writing (UGC Net Paper 1),"₹ 8,000-15,000 /month",Work From Home
GoMechanic,Human Resources (HR),"₹ 12,000 /month",Gurgaon
Narigiri's Connect To Universe Private Limited,Online IBDP Chemistry Tutoring,"₹ 1,500-8,000 /month",Work From Home
Himanshi Sharma,Subject Matter Expert (Inorganic Chemistry),"₹ 5,000-6,000 /month",Work From Home
BSL Placement Private Limited,Sales,"₹ 8,000 /month",Noida
ArchSlate,Content Writing (Architecture And Design),"₹ 7,000 /month",Work From Home
GreedyGame Media Private Limited,Recruitment,"₹ 15,000 /month",Bangalore
SNZ Designs Private Limited,Social Media Marketing,"₹ 6,000 /month",Mumbai
